merchant_id,merchant_name,merchant_category,aw_product_id,product_name,description,search_price,currency,aw_deep_link,large_image
1001,PureFlow,Apparel > Compression,p_722430,PureFlow Advanced Recovery Socks,<strong>PureFlow Advanced Recovery Socks</strong><br> Accelerates muscle recovery. <br> <ul><li>Batch Tested</li><li>Clinical Dose</li></ul> <span>Category: Apparel > Compression</span>,44.04,GBP,https://www.awin1.com/cread.php?awinmid=1001&p=605,https://via.placeholder.com/300x300?text=Recovery+Socks
1001,PureFlow,Supplements > Sleep,p_829109,PureFlow Deep L-Theanine Calm Drops,<strong>PureFlow Deep L-Theanine Calm Drops</strong><br> Supports metabolic flexibility. <br> <ul><li>Batch Tested</li><li>Clinical Dose</li></ul> <span>Category: Supplements > Sleep</span>,22.49,GBP,https://www.awin1.com/cread.php?awinmid=1001&p=6568,https://via.placeholder.com/300x300?text=L-Theanine+Calm+Drops
1001,EarthGrown,Electronics > Wearables,p_995370,EarthGrown Smart HRV Chest Strap,<strong>EarthGrown Smart HRV Chest Strap</strong><br> Improves cognitive function. <br> <ul><li>Batch Tested</li><li>Clinical Dose</li></ul> <span>Category: Electronics > Wearables</span>,498.54,GBP,https://www.awin1.com/cread.php?awinmid=1001&p=617,https://via.placeholder.com/300x300?text=HRV+Chest+Strap
1001,VitalSleep,Electronics > Wearables,p_702778,VitalSleep Organic Continuous Glucose Monitor (CGM),<strong>VitalSleep Organic Continuous Glucose Monitor (CGM)</strong><br> Optimizes circadian rhythm. <br> <ul><li>Batch Tested</li><li>Clinical Dose</li></ul> <span>Category: Electronics > Wearables</span>,176.58,GBP,https://www.awin1.com/cread.php?awinmid=1001&p=5510,https://via.placeholder.com/300x300?text=Continuous+Glucose+Monitor+(CGM)
1001,OptiMize Labs,Supplements > Focus,p_556065,OptiMize Labs Organic Alpha-GPC Nootropic,<strong>OptiMize Labs Organic Alpha-GPC Nootropic</strong><br> Accelerates muscle recovery. <br> <ul><li>Batch Tested</li><li>Clinical Dose</li></ul> <span>Category: Supplements > Focus</span>,34.4,GBP,https://www.awin1.com/cread.php?awinmid=1001&p=2128,https://via.placeholder.com/300x300?text=Alpha-GPC+Nootropic
1001,BioStack,Apparel > Compression,p_791004,BioStack Clinical Strength Post-Workout Hoodie,<strong>BioStack Clinical Strength Post-Workout Hoodie</strong><br> Supports metabolic flexibility. <br> <ul><li>Batch Tested</li><li>Clinical Dose</li></ul> <span>Category: Apparel > Compression</span>,29.64,GBP,https://www.awin1.com/cread.php?awinmid=1001&p=2523,https://via.placeholder.com/300x300?text=Post-Workout+Hoodie
1001,Zenith Gear,Apparel > Compression,p_876287,Zenith Gear Deep Compression Leggings,<strong>Zenith Gear Deep Compression Leggings</strong><br> Optimizes circadian rhythm. <br> <ul><li>Batch Tested</li><li>Clinical Dose</li></ul> <span>Category: Apparel > Compression</span>,50.89,GBP,https://www.awin1.com/cread.php?awinmid=1001&p=3806,https://via.placeholder.com/300x300?text=Compression+Leggings
1001,EarthGrown,Electronics > Recovery,p_315256,EarthGrown Organic Infrared Sauna Blanket,<strong>EarthGrown Organic Infrared Sauna Blanket</strong><br> Improves cognitive function. <br> <ul><li>Batch Tested</li><li>Clinical Dose</li></ul> <span>Category: Electronics > Recovery</span>,308.15,GBP,https://www.awin1.com/cread.php?awinmid=1001&p=2020,https://via.placeholder.com/300x300?text=Infrared+Sauna+Blanket
1001,Halo Tracker,Home > Lighting,p_885300,Halo Tracker Deep Sunrise Alarm Clock,<strong>Halo Tracker Deep Sunrise Alarm Clock</strong><br> Enhances deep sleep cycles. <br> <ul><li>Batch Tested</li><li>Clinical Dose</li></ul> <span>Category: Home > Lighting</span>,72.01,GBP,https://www.awin1.com/cread.php?awinmid=1001&p=2281,https://via.placeholder.com/300x300?text=Sunrise+Alarm+Clock
1001,EarthGrown,Supplements > Focus,p_284470,EarthGrown Deep Yerba Mate Extract,<strong>EarthGrown Deep Yerba Mate Extract</strong><br> Reduces cortisol levels. <br> <ul><li>Batch Tested</li><li>Clinical Dose</li></ul> <span>Category: Supplements > Focus</span>,36.84,GBP,https://www.awin1.com/cread.php?awinmid=1001&p=4206,https://via.placeholder.com/300x300?text=Yerba+Mate+Extract
1001,OptiMize Labs,Electronics > Recovery,p_581847,OptiMize Labs Premium PEMF Mat,<strong>OptiMize Labs Premium PEMF Mat</strong><br> Enhances deep sleep cycles. <br> <ul><li>Batch Tested</li><li>Clinical Dose</li></ul> <span>Category: Electronics > Recovery</span>,203.98,GBP,https://www.awin1.com/cread.php?awinmid=1001&p=8371,https://via.placeholder.com/300x300?text=PEMF+Mat
1001,OptiMize Labs,Supplements > Gut Health,p_873971,OptiMize Labs Smart L-Glutamine Powder,<strong>OptiMize Labs Smart L-Glutamine Powder</strong><br> Improves cognitive function. <br> <ul><li>Batch Tested</li><li>Clinical Dose</li></ul> <span>Category: Supplements > Gut Health</span>,34.68,GBP,https://www.awin1.com/cread.php?awinmid=1001&p=8962,https://via.placeholder.com/300x300?text=L-Glutamine+Powder
1001,Halo Tracker,Supplements > Sleep,p_293105,Halo Tracker Advanced L-Theanine Calm Drops,<strong>Halo Tracker Advanced L-Theanine Calm Drops</strong><br> Accelerates muscle recovery. <br> <ul><li>Batch Tested</li><li>Clinical Dose</li></ul> <span>Category: Supplements > Sleep</span>,39.99,GBP,https://www.awin1.com/cread.php?awinmid=1001&p=3297,https://via.placeholder.com/300x300?text=L-Theanine+Calm+Drops
